ProcessName,SER.COOLING.HIGH-CONSUMPTION,SER.COOKING,SER.COMPUTING,SER.SPACE-HEAT.HIGH-CONSUMPTION,SER.SPACE-HEAT.LOW-CONSUMPTION,SER.LIGHTING.OFFICE,SER.LIGHTING.OTHER,SER.OTHER,SER.REFRIGERATION,SER.HOT-WATER.HIGH-CONSUMPTION,SER.HOT-WATER.LOW-CONSUMPTION,CO2f,RegionName,Time
Unit,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,kt/PJ,-,year
SLOTELED00 [SER.LIGHTING: .00.OTHER.LED.],0,0,0,0,0,0,1,0,0,0,0,0.0,UK,2010
SOTHELC00 [SER.OTHER: .00.ELC.],0,0,0,0,0,0,0,1,0,0,0,0.0,UK,2010
SOTHNGA00 [SER.OTHER: .00.NGA.OIL.HEAT.],0,0,0,0,0,0,0,1,0,0,0,50.14900158370755,UK,2010
SREFEHFC00 [SER.REFRIGERATION: .00.HFC.],0,0,0,0,0,0,0,0,1,0,0,0.0,UK,2010
SREFEHFO00 [SER.REFRIGERATION: .00.HFO.],0,0,0,0,0,0,0,0,1,0,0,0.0,UK,2010
SWHBLRRC00 [SER.WATER.HIGH-CONSUMPTION: .00.HCO.BOILER.STD.PIPE.],0,0,0,0,0,0,0,0,0,1,0,70.27115814432203,UK,2010
SWHBLRRG00 [SER.WATER.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.PIPE.],0,0,0,0,0,0,0,0,0,1,0,50.14900158370755,UK,2010
SWHBLRRO00 [SER.WATER.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.PIPE.],0,0,0,0,0,0,0,0,0,1,0,70.27115814432203,UK,2010
SWHBLRRW00 [SER.WATER.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.PIPE.],0,0,0,0,0,0,0,0,0,1,0,0.0,UK,2010
SWHDPIP00 [SER.WATER.HIGH-CONSUMPTION: .00.PIPE.DELIVERY.],0,0,0,0,0,0,0,0,0,1,0,0.0,UK,2010
