ProcessName,RegionName,Time,season,period,UtilizationFactor,MinimumServiceFactor
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,2010,S,Night,1.000000,0.000000
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,2010,S,Peak,1.000000,0.000000
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,2010,W,Day,1.000000,0.000000
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,2010,W,Evening,1.000000,0.000000
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,2010,W,Night,1.000000,0.000000
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,2010,W,Peak,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,A,Day,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,A,Evening,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,A,Night,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,A,Peak,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,P,Day,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,P,Evening,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,P,Night,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,P,Peak,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,S,Day,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,S,Evening,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,S,Night,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,S,Peak,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,W,Day,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,W,Evening,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,W,Night,1.000000,0.000000
SCPECOMP00 [SER.COMPUTERS: .00.],UK,2010,W,Peak,1.000000,0.000000
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,A,Day,0.073073,0.065766
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,A,Evening,0.013875,0.012487
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,A,Night,0.007928,0.007136
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,A,Peak,0.027749,0.024974
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,P,Day,0.073073,0.065766
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,P,Evening,0.013875,0.012487
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,P,Night,0.007928,0.007136
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,P,Peak,0.027749,0.024974
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,S,Day,0.243576,0.219219
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,S,Evening,0.046249,0.041624
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,S,Night,0.026428,0.023785
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,S,Peak,0.092497,0.083248
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,W,Day,0.016238,0.014615
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,W,Evening,0.003083,0.002775
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,W,Night,0.001762,0.001586
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,2010,W,Peak,0.006166,0.005550
