RegionName,Timeslice,RES.COOKING.OTHER,RES.COOKING.HOBS,RES.COOKING.OVENS,RES.CONSUMER-ELECTRONICS.TV,RES.FREEZERS,RES.COOLING,RES.COMPUTERS,RES.REFRIGERATORS,RES.LIGHTING,RES.OTHER,RES.WET.APPLIANCES,RES.SPACE-HEAT.EXISTING-AVERAGE,RES.SPACE-HEAT.NEW-AVERAGE,RES.HOT-WATER.EXISTING-AVERAGE,RES.HOT-WATER.NEW-AVERAGE
UK,1,3.1406395628897377,4.284348422278325,3.8559135800505,6.769318801477725,1.951185257734275,0.0,1.9357537823003816,4.4643267589175375,21.960998766142424,3.10116485754996,5.8674277040709795,84.49551087712861,13.293537009366199,21.507149542009703,6.474756571075223
UK,2,0.6281279125779475,0.856869684455665,0.7711827160101,2.7077275205910905,0.5574815022097926,0.0,1.055865699436575,1.2755219311192958,87.8439950645697,1.2404659430199865,2.3469710816283875,28.10131720363023,4.421133103764865,4.250700804445319,1.2796792485911777
UK,3,0.31406395628897377,0.4284348422278325,0.38559135800505,1.6923297003694313,0.9755926288671375,0.0,0.28156418651642057,2.2321633794587687,21.960998766142424,1.0854077001424873,0.0,32.104851480972435,5.051002436841125,14.252267311263042,4.290664425151806
UK,4,2.1984476940228164,2.999043895594827,2.69913950603535,2.3692615805172035,0.4181111266573449,0.0,0.9502791294929175,0.9566414483394728,87.8439950645697,0.9303494572649881,1.7602283112212898,46.94866920627084,7.3863553833247355,10.354874193964214,3.1173489354815773
UK,5,3.1406395628897377,4.284348422278325,3.8559135800505,6.769318801477725,1.951185257734275,0.0,1.9357537823003816,4.4643267589175375,21.960998766142424,3.10116485754996,5.8674277040709795,105.08454311977782,16.532774919918644,21.6513840122049,6.518178554162649
UK,6,0.6281279125779475,0.856869684455665,0.7711827160101,2.7077275205910905,0.5574815022097926,0.0,1.055865699436575,1.2755219311192958,87.8439950645697,1.2404659430199865,2.3469710816283875,35.60698886365406,5.601987837429606,4.33526279651991,1.3051367511197531
UK,7,0.31406395628897377,0.4284348422278325,0.38559135800505,1.6923297003694313,0.9755926288671375,0.0,0.28156418651642057,2.2321633794587687,21.960998766142424,1.0854077001424873,0.0,39.525163289690916,6.2184276482666085,14.416462231462658,4.340095528814476
UK,8,2.1984476940228164,2.999043895594827,2.69913950603535,2.3692615805172035,0.4181111266573449,0.0,0.9502791294929175,0.9566414483394728,87.8439950645697,0.9303494572649881,1.7602283112212898,58.694215757445875,9.234262522442856,10.354874193964214,3.1173489354815773
UK,9,3.1406395628897377,4.284348422278325,3.8559135800505,6.769318801477725,2.3414223092811297,0.0,1.5486030258403105,5.357192110701045,17.56879901291394,3.10116485754996,5.8674277040709795,8.17860641357702,1.2867264297866396,18.833364643627135,5.669809997070673
UK,10,0.6281279125779475,0.856869684455665,0.7711827160101,2.7077275205910905,0.6689778026517521,0.0,0.84469255954926,1.5306263173431571,70.27519605165575,1.2404659430199865,2.3469710816283875,2.0053017206824233,0.31549075639772517,3.4697887762754243,1.0445846222229342
UK,11,0.31406395628897377,0.4284348422278325,0.38559135800505,1.6923297003694313,1.1707111546405649,0.0,0.22525134921313542,2.6785960553505226,17.56879901291394,1.0854077001424873,0.0,4.908768636427187,0.7722883365206585,12.753681950602733,3.839513267612321
UK,12,2.1984476940228164,2.999043895594827,2.69913950603535,2.3692615805172035,0.5017333519888129,0.0,0.7602233035943339,1.1479697380073652,70.27519605165575,0.9303494572649881,1.7602283112212898,2.6931982038986244,0.4237163563535057,9.487063338972462,2.8560932993112433
UK,13,3.1406395628897377,4.284348422278325,3.8559135800505,6.769318801477725,1.56094820618742,0.0,2.322904538760465,3.5714614071340303,26.35319851937091,3.10116485754996,5.8674277040709795,194.8117687823243,30.649408841776864,21.6513840122049,6.518178554162649
UK,14,0.6281279125779475,0.856869684455665,0.7711827160101,2.7077275205910905,0.4459852017678347,0.0,1.2670388393238898,1.020417544895438,105.41279407748364,1.2404659430199865,2.3469710816283875,66.0620295636598,10.39342831118461,4.380208828832505,1.318667815173188
UK,15,0.31406395628897377,0.4284348422278325,0.38559135800505,1.6923297003694313,0.78047410309371,0.0,0.33787702381970397,1.7857307035670151,26.35319851937091,1.0854077001424873,0.0,56.42231021102462,8.87682743329293,14.488073134592748,4.361654088431895
UK,16,2.1984476940228164,2.999043895594827,2.69913950603535,2.3692615805172035,0.3344889013258753,0.0,1.140334955391501,0.7653131586715769,105.41279407748364,0.9303494572649881,1.7602283112212898,95.79123674573341,15.07067461494045,10.354874193964214,3.1173489354815773
