ProcessName,RegionName,Time,season,period,UtilizationFactor,MinimumServiceFactor
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,2010,P,Peak,1.000000,0.000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,2010,S,Day,1.000000,0.000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,2010,S,Evening,1.000000,0.000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,2010,S,Night,1.000000,0.000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,2010,S,Peak,1.000000,0.000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,2010,W,Day,1.000000,0.000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,2010,W,Evening,1.000000,0.000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,2010,W,Night,1.000000,0.000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,2010,W,Peak,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,A,Day,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,A,Evening,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,A,Night,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,A,Peak,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,P,Day,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,P,Evening,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,P,Night,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,P,Peak,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,S,Day,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,S,Evening,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,S,Night,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,S,Peak,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,W,Day,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,W,Evening,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,W,Night,1.000000,0.000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,W,Peak,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,A,Day,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,A,Evening,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,A,Night,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,A,Peak,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,P,Day,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,P,Evening,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,P,Night,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,P,Peak,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,S,Day,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,S,Evening,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,S,Night,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,S,Peak,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,W,Day,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,W,Evening,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,W,Night,1.000000,0.000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,W,Peak,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,A,Day,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,A,Evening,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,A,Night,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,A,Peak,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,P,Day,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,P,Evening,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,P,Night,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,P,Peak,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,S,Day,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,S,Evening,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,S,Night,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,S,Peak,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,W,Day,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,W,Evening,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,W,Night,1.000000,0.000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,2010,W,Peak,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,A,Day,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,A,Evening,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,A,Night,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,A,Peak,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,P,Day,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,P,Evening,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,P,Night,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,P,Peak,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,S,Day,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,S,Evening,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,S,Night,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,S,Peak,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,W,Day,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,W,Evening,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,W,Night,1.000000,0.000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,2010,W,Peak,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,A,Day,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,A,Evening,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,A,Night,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,A,Peak,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,P,Day,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,P,Evening,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,P,Night,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,P,Peak,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,S,Day,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,S,Evening,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,S,Night,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,S,Peak,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,W,Day,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,W,Evening,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,W,Night,1.000000,0.000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,2010,W,Peak,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,A,Day,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,A,Evening,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,A,Night,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,A,Peak,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,P,Day,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,P,Evening,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,P,Night,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,P,Peak,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,S,Day,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,S,Evening,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,S,Night,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,S,Peak,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,W,Day,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,W,Evening,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,W,Night,1.000000,0.000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,2010,W,Peak,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,A,Day,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,A,Evening,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,A,Night,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,A,Peak,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,P,Day,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,P,Evening,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,P,Night,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,P,Peak,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,S,Day,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,S,Evening,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,S,Night,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,S,Peak,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,W,Day,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,W,Evening,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,W,Night,1.000000,0.000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,2010,W,Peak,1.000000,0.000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,2010,A,Day,1.000000,0.000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,2010,A,Evening,1.000000,0.000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,2010,A,Night,1.000000,0.000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,2010,A,Peak,1.000000,0.000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,2010,P,Day,1.000000,0.000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,2010,P,Evening,1.000000,0.000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,2010,P,Night,1.000000,0.000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,2010,P,Peak,1.000000,0.000000
