commodity,consumption,period,region,season,timeslice,units_prices,year
hco,8.52550000000,Evening,UK,W,3,19.7944343,2010
lfo,3.14780000000,Evening,UK,W,3,19.7944343,2010
wood,1.82080000000,Evening,UK,W,3,10.019,2010
ser.cooling.high-consumption,1.53290000000,Evening,UK,W,3,0,2010
ser.cooking,3.05900000000,Evening,UK,W,3,0,2010
ser.computing,0.31890000000,Evening,UK,W,3,0,2010
ser.space-heat.high-consumption,8.65910000000,Evening,UK,W,3,0,2010
ser.space-heat.low-consumption,4.41510000000,Evening,UK,W,3,0,2010
ser.lighting.office,9.84750000000,Evening,UK,W,3,0,2010
ser.lighting.other,4.44580000000,Evening,UK,W,3,0,2010
ser.other,0.57580000000,Evening,UK,W,3,0,2010
ser.refrigeration,1.48500000000,Evening,UK,W,3,0,2010
ser.hot-water.high-consumption,1.92480000000,Evening,UK,W,3,0,2010
ser.hot-water.low-consumption,0.81190000000,Evening,UK,W,3,0,2010
res.cooking.other,1.73180000000,Evening,UK,W,3,0,2010
res.cooking.hobs,2.36250000000,Evening,UK,W,3,0,2010
res.cooking.ovens,2.12630000000,Evening,UK,W,3,0,2010
res.consumer-electronics.tv,2.00520000000,Evening,UK,W,3,0,2010
res.freezers,0.32940000000,Evening,UK,W,3,0,2010
res.computers,0.80420000000,Evening,UK,W,3,0,2010
res.refrigerators,0.75360000000,Evening,UK,W,3,0,2010
res.lighting,69.19920000000,Evening,UK,W,3,0,2010
res.other,0.73290000000,Evening,UK,W,3,0,2010
res.wet.appliances,1.38660000000,Evening,UK,W,3,0,2010
res.space-heat.existing-average,50.45960000000,Evening,UK,W,3,0,2010
res.space-heat.new-average,0.05450000000,Evening,UK,W,3,0,2010
res.hot-water.existing-average,11.12920000000,Evening,UK,W,3,0,2010
res.hot-water.new-average,0.05270000000,Evening,UK,W,3,0,2010
nga,92.08830000000,Night,UK,P,4,12.552,2010
bog,0.04300000000,Night,UK,P,4,0,2010
biomass,0.03610000000,Night,UK,P,4,10.019,2010
elc,169.34330000000,Night,UK,P,4,43.34267522,2010
oil,7.06530000000,Night,UK,P,4,19.7944343,2010
hco,19.79600000000,Night,UK,P,4,19.7944343,2010
lfo,5.09110000000,Night,UK,P,4,19.7944343,2010
wood,2.67220000000,Night,UK,P,4,10.019,2010
ser.cooling.high-consumption,13.45530000000,Night,UK,P,4,0,2010
ser.cooking,6.11790000000,Night,UK,P,4,0,2010
ser.computing,2.07290000000,Night,UK,P,4,0,2010
ser.space-heat.high-consumption,19.96480000000,Night,UK,P,4,0,2010
ser.space-heat.low-consumption,10.31900000000,Night,UK,P,4,0,2010
ser.lighting.office,22.15690000000,Night,UK,P,4,0,2010
ser.lighting.other,10.00290000000,Night,UK,P,4,0,2010
ser.other,1.91950000000,Night,UK,P,4,0,2010
ser.refrigeration,4.95000000000,Night,UK,P,4,0,2010
ser.hot-water.high-consumption,4.17310000000,Night,UK,P,4,0,2010
ser.hot-water.low-consumption,1.69770000000,Night,UK,P,4,0,2010
res.cooking.other,2.47400000000,Night,UK,P,4,0,2010
res.cooking.hobs,3.37500000000,Night,UK,P,4,0,2010
res.cooking.ovens,3.03750000000,Night,UK,P,4,0,2010
res.consumer-electronics.tv,5.72900000000,Night,UK,P,4,0,2010
res.freezers,1.53700000000,Night,UK,P,4,0,2010
res.computers,1.63830000000,Night,UK,P,4,0,2010
res.refrigerators,3.51680000000,Night,UK,P,4,0,2010
res.lighting,17.29980000000,Night,UK,P,4,0,2010
res.other,2.44290000000,Night,UK,P,4,0,2010
res.wet.appliances,4.62210000000,Night,UK,P,4,0,2010
res.space-heat.existing-average,112.94290000000,Night,UK,P,4,0,2010
res.space-heat.new-average,0.12200000000,Night,UK,P,4,0,2010
res.hot-water.existing-average,23.27050000000,Night,UK,P,4,0,2010
res.hot-water.new-average,0.11020000000,Night,UK,P,4,0,2010
nga,171.40070000000,Day,UK,P,5,12.552,2010
bog,0.01780000000,Day,UK,P,5,0,2010
biomass,0.01500000000,Day,UK,P,5,10.019,2010
