ProcessName,RegionName,Time,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Fuel,EndUse,B6,E13,G17,C9,H19,C8,D10,I22,I21,A2,J23,C7,F15,J24,B4,A3,D11,H20,E14,G18,A1,F16,B5,D12
Unit,-,year,MGBP2020/PJ_a,-,MGBP2020/PJ_a,-,MGBP2020/PJ,-,PJ,%,PJ,years,-,PJ,%,-,-,-,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new
RCEOTHER00 [RES.COOKING: .00.OTHER.KETTLE.MICROWAVE],UK,2010,61.177609885735,1,0.0,1,0,1,2.0,100,100000000.0,5.0,1.0,1,0.8,0.1,ELC,RES.COOKING.OTHER,0.03216179353120505,0.05390393070372049,0.0531394161842944,0.035443825962229614,0.04418829269892097,0.030961106276292456,0.04122190247510133,0.049750938210093944,0.04322935920475712,0.030260551443329987,0.04813647565502685,0.03875772278578839,0.0619824778167257,0.06774577664030618,0.026660798692543942,0.0373769324426389,0.026362474089977193,0.03338326191168345,0.04322935920475712,0.04767328745630479,0.02912405477627617,0.02392323175134321,0.05940700365493817,0.041976026431744515
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,2010,164.642857142857,1,8.23214285714286,1,0,1,2.0,100,100000000.0,14.0,1.0,1,1.09656574908097,0.1,ELC,RES.COOKING.HOBS,0.03216179353120505,0.05390393070372049,0.0531394161842944,0.035443825962229614,0.04418829269892097,0.030961106276292456,0.04122190247510133,0.049750938210093944,0.04322935920475712,0.030260551443329987,0.04813647565502685,0.03875772278578839,0.0619824778167257,0.06774577664030618,0.026660798692543942,0.0373769324426389,0.026362474089977193,0.03338326191168345,0.04322935920475712,0.04767328745630479,0.02912405477627617,0.02392323175134321,0.05940700365493817,0.041976026431744515
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,2010,164.642857142857,1,8.23214285714286,1,0,1,2.0,100,100000000.0,14.0,1.0,1,1.51803094504518,0.1,ELC,RES.COOKING.OVENS,0.03216179353120505,0.05390393070372049,0.0531394161842944,0.035443825962229614,0.04418829269892097,0.030961106276292456,0.04122190247510133,0.049750938210093944,0.04322935920475712,0.030260551443329987,0.04813647565502685,0.03875772278578839,0.0619824778167257,0.06774577664030618,0.026660798692543942,0.0373769324426389,0.026362474089977193,0.03338326191168345,0.04322935920475712,0.04767328745630479,0.02912405477627617,0.02392323175134321,0.05940700365493817,0.041976026431744515
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],UK,2010,175.714285714286,1,8.78571428571429,1,0,1,2.0,100,100000000.0,14.0,1.0,1,0.8,0.1,NGA,RES.COOKING.HOBS,0.03216179353120505,0.05390393070372049,0.0531394161842944,0.035443825962229614,0.04418829269892097,0.030961106276292456,0.04122190247510133,0.049750938210093944,0.04322935920475712,0.030260551443329987,0.04813647565502685,0.03875772278578839,0.0619824778167257,0.06774577664030618,0.026660798692543942,0.0373769324426389,0.026362474089977193,0.03338326191168345,0.04322935920475712,0.04767328745630479,0.02912405477627617,0.02392323175134321,0.05940700365493817,0.041976026431744515
RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.],UK,2010,175.714285714286,1,8.78571428571429,1,0,1,2.0,100,100000000.0,14.0,1.0,1,1.11553538908557,0.1,NGA,RES.COOKING.OVENS,0.03216179353120505,0.05390393070372049,0.0531394161842944,0.035443825962229614,0.04418829269892097,0.030961106276292456,0.04122190247510133,0.049750938210093944,0.04322935920475712,0.030260551443329987,0.04813647565502685,0.03875772278578839,0.0619824778167257,0.06774577664030618,0.026660798692543942,0.0373769324426389,0.026362474089977193,0.03338326191168345,0.04322935920475712,0.04767328745630479,0.02912405477627617,0.02392323175134321,0.05940700365493817,0.041976026431744515
REAIRCON00 [RES.AIR-CONDITIONER: .00.],UK,2010,162.760416666667,1,8.13802083333333,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.555555555555556,0.1,ELC,RES.COOLING,0.03365418292165613,0.05640521080825789,0.05424985460470352,0.03708851004278948,0.045111682180186435,0.018015432586425385,0.043134704068344604,0.052059508852390135,0.0452353119191349,0.031664718343394425,0.05037013110995561,0.04055618014568139,0.06327770704019221,0.06916143978837223,0.015513199601448455,0.03911131760280975,0.027585760241595286,0.034932330555734886,0.0452353119191349,0.04866950182635154,0.03047548532733855,0.013920283242455412,0.060648413968349274,0.043923821303297576
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,2010,369.940960908303,1,0.0,1,0,1,2.0,100,100000000.0,6.0,1.0,1,0.6,0.1,ELC,RES.CONSUMER-ELECTRONICS.TV,0.03550430572109897,0.059506060612475986,0.04997141136031604,0.039127433352479285,0.04155392569819875,0.015467504463361677,0.04550601403685109,0.05492145574558375,0.04772210181138468,0.03340547126796928,0.053139205260244564,0.04278573698028076,0.058287277477216626,0.06370698655544103,0.013319163052305892,0.041261443802030146,0.02910227437244638,0.036852718917243746,0.04772210181138468,0.04483115603143757,0.03215086072894762,0.011951533339597701,0.05586534498288509,0.04633851261881874
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,152.777777777778,1,6.94444444444444,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.858325268073987,0.1,ELC,RES.FREEZERS,0.016827091460828066,0.028202605404128944,0.02712492730235176,0.01854425502139474,0.022555841090093218,0.009007716293212693,0.021567352034172302,0.026029754426195068,0.02261765595956745,0.015832359171697213,0.025185065554977806,0.020278090072840694,0.03163885352009611,0.03458071989418612,0.007756599800724228,0.019555658801404877,0.013792880120797643,0.017466165277867443,0.02261765595956745,0.02433475091317577,0.015237742663669274,0.006960141621227706,0.030324206984174637,0.021961910651648788
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,2010,243.055555555556,1,11.4583333333333,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.763291334037606,0.1,ELC,RES.REFRIGERATORS,0.016827091460828066,0.028202605404128944,0.02712492730235176,0.01854425502139474,0.022555841090093218,0.009007716293212693,0.021567352034172302,0.026029754426195068,0.02261765595956745,0.015832359171697213,0.025185065554977806,0.020278090072840694,0.03163885352009611,0.03458071989418612,0.007756599800724228,0.019555658801404877,0.013792880120797643,0.017466165277867443,0.02261765595956745,0.02433475091317577,0.015237742663669274,0.006960141621227706,0.030324206984174637,0.021961910651648788
