,ProcessName,RegionName,Time,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Fuel,EndUse,D10,A1,G18,F15,I22,C8,B5,I21,F16,J24,key_0,E14,B6,E13,C9,H20,J23,A3,H19,G17,C7,D12,A2,B4,D11
0,Unit,-,year,MGBP2020/PJ_a,-,MGBP2020/PJ_a,-,MGBP2020/PJ,-,PJ,%,PJ,years,-,PJ,%,-,-,-,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new
1,RCEOTHER00 [RES.COOKING: .00.OTHER.KETTLE.MICROWAVE],UK,2010,61.177609885735,1,0.0,1,0,1,2.0,100,100000000.0,5.0,1.0,1,0.8,0.1,ELC,RES.COOKING.OTHER,0.04122190247510133,0.02912405477627617,0.04767328745630479,0.0619824778167257,0.049750938210093944,0.030961106276292456,0.05940700365493817,0.04322935920475712,0.02392323175134321,0.06774577664030618,RES.COOKING,0.04322935920475712,0.03216179353120505,0.05390393070372049,0.035443825962229614,0.03338326191168345,0.04813647565502685,0.0373769324426389,0.04418829269892097,0.0531394161842944,0.03875772278578839,0.041976026431744515,0.030260551443329987,0.026660798692543942,0.026362474089977193
2,RCEOTHER01 [RES.COOKING: .01.OTHER.KETTLE.MICROWAVE],UK,2010,61.177609885735,1,0.0,1,0,1,100000000.0,100,100000000.0,5.0,1.0,1,0.8,0.1,ELC,RES.COOKING.OTHER,0.04122190247510133,0.02912405477627617,0.04767328745630479,0.0619824778167257,0.049750938210093944,0.030961106276292456,0.05940700365493817,0.04322935920475712,0.02392323175134321,0.06774577664030618,RES.COOKING,0.04322935920475712,0.03216179353120505,0.05390393070372049,0.035443825962229614,0.03338326191168345,0.04813647565502685,0.0373769324426389,0.04418829269892097,0.0531394161842944,0.03875772278578839,0.041976026431744515,0.030260551443329987,0.026660798692543942,0.026362474089977193
3,RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,2010,164.642857142857,1,8.23214285714286,1,0,1,2.0,100,100000000.0,14.0,1.0,1,1.09656574908097,0.1,ELC,RES.COOKING.HOBS,0.04122190247510133,0.02912405477627617,0.04767328745630479,0.0619824778167257,0.049750938210093944,0.030961106276292456,0.05940700365493817,0.04322935920475712,0.02392323175134321,0.06774577664030618,RES.COOKING,0.04322935920475712,0.03216179353120505,0.05390393070372049,0.035443825962229614,0.03338326191168345,0.04813647565502685,0.0373769324426389,0.04418829269892097,0.0531394161842944,0.03875772278578839,0.041976026431744515,0.030260551443329987,0.026660798692543942,0.026362474089977193
4,RCHEHOB01 [RES.COOKING: .01.HOB.ELECTRIC.],UK,2010,164.642857142857,1,8.23214285714286,1,0,1,100000000.0,100,100000000.0,14.0,1.0,1,1.09656574908097,0.1,ELC,RES.COOKING.HOBS,0.04122190247510133,0.02912405477627617,0.04767328745630479,0.0619824778167257,0.049750938210093944,0.030961106276292456,0.05940700365493817,0.04322935920475712,0.02392323175134321,0.06774577664030618,RES.COOKING,0.04322935920475712,0.03216179353120505,0.05390393070372049,0.035443825962229614,0.03338326191168345,0.04813647565502685,0.0373769324426389,0.04418829269892097,0.0531394161842944,0.03875772278578839,0.041976026431744515,0.030260551443329987,0.026660798692543942,0.026362474089977193
5,RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,2010,164.642857142857,1,8.23214285714286,1,0,1,2.0,100,100000000.0,14.0,1.0,1,1.51803094504518,0.1,ELC,RES.COOKING.OVENS,0.04122190247510133,0.02912405477627617,0.04767328745630479,0.0619824778167257,0.049750938210093944,0.030961106276292456,0.05940700365493817,0.04322935920475712,0.02392323175134321,0.06774577664030618,RES.COOKING,0.04322935920475712,0.03216179353120505,0.05390393070372049,0.035443825962229614,0.03338326191168345,0.04813647565502685,0.0373769324426389,0.04418829269892097,0.0531394161842944,0.03875772278578839,0.041976026431744515,0.030260551443329987,0.026660798692543942,0.026362474089977193
6,RCHEOVEN01 [RES.COOKING: .01.OVEN.ELECTRIC.],UK,2010,164.642857142857,1,8.23214285714286,1,0,1,100000000.0,100,100000000.0,14.0,1.0,1,1.51803094504518,0.1,ELC,RES.COOKING.OVENS,0.04122190247510133,0.02912405477627617,0.04767328745630479,0.0619824778167257,0.049750938210093944,0.030961106276292456,0.05940700365493817,0.04322935920475712,0.02392323175134321,0.06774577664030618,RES.COOKING,0.04322935920475712,0.03216179353120505,0.05390393070372049,0.035443825962229614,0.03338326191168345,0.04813647565502685,0.0373769324426389,0.04418829269892097,0.0531394161842944,0.03875772278578839,0.041976026431744515,0.030260551443329987,0.026660798692543942,0.026362474089977193
7,RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],UK,2010,175.714285714286,1,8.78571428571429,1,0,1,2.0,100,100000000.0,14.0,1.0,1,0.8,0.1,NGA,RES.COOKING.HOBS,0.04122190247510133,0.02912405477627617,0.04767328745630479,0.0619824778167257,0.049750938210093944,0.030961106276292456,0.05940700365493817,0.04322935920475712,0.02392323175134321,0.06774577664030618,RES.COOKING,0.04322935920475712,0.03216179353120505,0.05390393070372049,0.035443825962229614,0.03338326191168345,0.04813647565502685,0.0373769324426389,0.04418829269892097,0.0531394161842944,0.03875772278578839,0.041976026431744515,0.030260551443329987,0.026660798692543942,0.026362474089977193
8,RCHGHOB01 [RES.COOKING: .01.HOB.GAS.],UK,2010,175.714285714286,1,8.78571428571429,1,0,1,100000000.0,100,100000000.0,14.0,1.0,1,0.8,0.1,NGA,RES.COOKING.HOBS,0.04122190247510133,0.02912405477627617,0.04767328745630479,0.0619824778167257,0.049750938210093944,0.030961106276292456,0.05940700365493817,0.04322935920475712,0.02392323175134321,0.06774577664030618,RES.COOKING,0.04322935920475712,0.03216179353120505,0.05390393070372049,0.035443825962229614,0.03338326191168345,0.04813647565502685,0.0373769324426389,0.04418829269892097,0.0531394161842944,0.03875772278578839,0.041976026431744515,0.030260551443329987,0.026660798692543942,0.026362474089977193
9,RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.],UK,2010,175.714285714286,1,8.78571428571429,1,0,1,2.0,100,100000000.0,14.0,1.0,1,1.11553538908557,0.1,NGA,RES.COOKING.OVENS,0.04122190247510133,0.02912405477627617,0.04767328745630479,0.0619824778167257,0.049750938210093944,0.030961106276292456,0.05940700365493817,0.04322935920475712,0.02392323175134321,0.06774577664030618,RES.COOKING,0.04322935920475712,0.03216179353120505,0.05390393070372049,0.035443825962229614,0.03338326191168345,0.04813647565502685,0.0373769324426389,0.04418829269892097,0.0531394161842944,0.03875772278578839,0.041976026431744515,0.030260551443329987,0.026660798692543942,0.026362474089977193
