commodity,period,prices,region,season,timeslice,units_prices,year
ser.space-heat.high-consumption,Day,,UK,P,5,0,2010
ser.space-heat.low-consumption,Day,,UK,P,5,0,2010
ser.lighting.office,Day,,UK,P,5,0,2010
ser.lighting.other,Day,,UK,P,5,0,2010
ser.other,Day,,UK,P,5,0,2010
ser.refrigeration,Day,,UK,P,5,0,2010
ser.hot-water.high-consumption,Day,,UK,P,5,0,2010
ser.hot-water.low-consumption,Day,,UK,P,5,0,2010
CO2f,Day,,UK,P,5,0,2010
nga,Peak,,UK,P,6,12.552,2010
bog,Peak,,UK,P,6,0,2010
biomass,Peak,,UK,P,6,10.019,2010
elc,Peak,,UK,P,6,43.34267522,2010
oil,Peak,,UK,P,6,19.7944343,2010
hco,Peak,,UK,P,6,19.7944343,2010
lfo,Peak,,UK,P,6,19.7944343,2010
wood,Peak,,UK,P,6,10.019,2010
hydrogen,Peak,,UK,P,6,105.016835,2010
pellets,Peak,,UK,P,6,20.58703511,2010
solar,Peak,,UK,P,6,0.0,2010
ser.cooling.high-consumption,Peak,,UK,P,6,0,2010
ser.cooking,Peak,,UK,P,6,0,2010
ser.computing,Peak,,UK,P,6,0,2010
ser.space-heat.high-consumption,Peak,,UK,P,6,0,2010
ser.space-heat.low-consumption,Peak,,UK,P,6,0,2010
ser.lighting.office,Peak,,UK,P,6,0,2010
ser.lighting.other,Peak,,UK,P,6,0,2010
ser.other,Peak,,UK,P,6,0,2010
ser.refrigeration,Peak,,UK,P,6,0,2010
ser.hot-water.high-consumption,Peak,,UK,P,6,0,2010
ser.hot-water.low-consumption,Peak,,UK,P,6,0,2010
CO2f,Peak,,UK,P,6,0,2010
nga,Evening,,UK,P,7,12.552,2010
bog,Evening,,UK,P,7,0,2010
biomass,Evening,,UK,P,7,10.019,2010
elc,Evening,,UK,P,7,43.34267522,2010
oil,Evening,,UK,P,7,19.7944343,2010
hco,Evening,,UK,P,7,19.7944343,2010
lfo,Evening,,UK,P,7,19.7944343,2010
wood,Evening,,UK,P,7,10.019,2010
hydrogen,Evening,,UK,P,7,105.016835,2010
pellets,Evening,,UK,P,7,20.58703511,2010
solar,Evening,,UK,P,7,0.0,2010
ser.cooling.high-consumption,Evening,,UK,P,7,0,2010
ser.cooking,Evening,,UK,P,7,0,2010
ser.computing,Evening,,UK,P,7,0,2010
ser.space-heat.high-consumption,Evening,,UK,P,7,0,2010
ser.space-heat.low-consumption,Evening,,UK,P,7,0,2010
ser.lighting.office,Evening,,UK,P,7,0,2010
ser.lighting.other,Evening,,UK,P,7,0,2010
ser.other,Evening,,UK,P,7,0,2010
ser.refrigeration,Evening,,UK,P,7,0,2010
ser.hot-water.high-consumption,Evening,,UK,P,7,0,2010
ser.hot-water.low-consumption,Evening,,UK,P,7,0,2010
CO2f,Evening,,UK,P,7,0,2010
nga,Night,,UK,S,8,12.552,2010
bog,Night,,UK,S,8,0,2010
biomass,Night,,UK,S,8,10.019,2010
elc,Night,,UK,S,8,43.34267522,2010
oil,Night,,UK,S,8,19.7944343,2010
hco,Night,,UK,S,8,19.7944343,2010
lfo,Night,,UK,S,8,19.7944343,2010
wood,Night,,UK,S,8,10.019,2010
hydrogen,Night,,UK,S,8,105.016835,2010
pellets,Night,,UK,S,8,20.58703511,2010
solar,Night,,UK,S,8,0.0,2010
ser.cooling.high-consumption,Night,,UK,S,8,0,2010
ser.cooking,Night,,UK,S,8,0,2010
ser.computing,Night,,UK,S,8,0,2010
ser.space-heat.high-consumption,Night,,UK,S,8,0,2010
ser.space-heat.low-consumption,Night,,UK,S,8,0,2010
ser.lighting.office,Night,,UK,S,8,0,2010
ser.lighting.other,Night,,UK,S,8,0,2010
ser.other,Night,,UK,S,8,0,2010
ser.refrigeration,Night,,UK,S,8,0,2010
ser.hot-water.high-consumption,Night,,UK,S,8,0,2010
ser.hot-water.low-consumption,Night,,UK,S,8,0,2010
CO2f,Night,,UK,S,8,0,2010
nga,Day,,UK,S,9,12.552,2010
bog,Day,,UK,S,9,0,2010
biomass,Day,,UK,S,9,10.019,2010
elc,Day,,UK,S,9,43.34267522,2010
oil,Day,,UK,S,9,19.7944343,2010
hco,Day,,UK,S,9,19.7944343,2010
lfo,Day,,UK,S,9,19.7944343,2010
wood,Day,,UK,S,9,10.019,2010
hydrogen,Day,,UK,S,9,105.016835,2010
pellets,Day,,UK,S,9,20.58703511,2010
solar,Day,,UK,S,9,0.0,2010
ser.cooling.high-consumption,Day,,UK,S,9,0,2010
ser.cooking,Day,,UK,S,9,0,2010
ser.computing,Day,,UK,S,9,0,2010
ser.space-heat.high-consumption,Day,,UK,S,9,0,2010
ser.space-heat.low-consumption,Day,,UK,S,9,0,2010
ser.lighting.office,Day,,UK,S,9,0,2010
ser.lighting.other,Day,,UK,S,9,0,2010
ser.other,Day,,UK,S,9,0,2010
ser.refrigeration,Day,,UK,S,9,0,2010
ser.hot-water.high-consumption,Day,,UK,S,9,0,2010
ser.hot-water.low-consumption,Day,,UK,S,9,0,2010
CO2f,Day,,UK,S,9,0,2010
nga,Peak,,UK,S,10,12.552,2010
bog,Peak,,UK,S,10,0,2010
biomass,Peak,,UK,S,10,10.019,2010
elc,Peak,,UK,S,10,43.34267522,2010
oil,Peak,,UK,S,10,19.7944343,2010
hco,Peak,,UK,S,10,19.7944343,2010
lfo,Peak,,UK,S,10,19.7944343,2010
wood,Peak,,UK,S,10,10.019,2010
hydrogen,Peak,,UK,S,10,105.016835,2010
pellets,Peak,,UK,S,10,20.58703511,2010
solar,Peak,,UK,S,10,0.0,2010
ser.cooling.high-consumption,Peak,,UK,S,10,0,2010
ser.cooking,Peak,,UK,S,10,0,2010
ser.computing,Peak,,UK,S,10,0,2010
ser.space-heat.high-consumption,Peak,,UK,S,10,0,2010
ser.space-heat.low-consumption,Peak,,UK,S,10,0,2010
ser.lighting.office,Peak,,UK,S,10,0,2010
ser.lighting.other,Peak,,UK,S,10,0,2010
ser.other,Peak,,UK,S,10,0,2010
ser.refrigeration,Peak,,UK,S,10,0,2010
ser.hot-water.high-consumption,Peak,,UK,S,10,0,2010
ser.hot-water.low-consumption,Peak,,UK,S,10,0,2010
CO2f,Peak,,UK,S,10,0,2010
nga,Evening,,UK,S,11,12.552,2010
bog,Evening,,UK,S,11,0,2010
biomass,Evening,,UK,S,11,10.019,2010
elc,Evening,,UK,S,11,43.34267522,2010
oil,Evening,,UK,S,11,19.7944343,2010
hco,Evening,,UK,S,11,19.7944343,2010
lfo,Evening,,UK,S,11,19.7944343,2010
wood,Evening,,UK,S,11,10.019,2010
hydrogen,Evening,,UK,S,11,105.016835,2010
pellets,Evening,,UK,S,11,20.58703511,2010
solar,Evening,,UK,S,11,0.0,2010
ser.cooling.high-consumption,Evening,,UK,S,11,0,2010
ser.cooking,Evening,,UK,S,11,0,2010
ser.computing,Evening,,UK,S,11,0,2010
ser.space-heat.high-consumption,Evening,,UK,S,11,0,2010
ser.space-heat.low-consumption,Evening,,UK,S,11,0,2010
ser.lighting.office,Evening,,UK,S,11,0,2010
ser.lighting.other,Evening,,UK,S,11,0,2010
ser.other,Evening,,UK,S,11,0,2010
ser.refrigeration,Evening,,UK,S,11,0,2010
ser.hot-water.high-consumption,Evening,,UK,S,11,0,2010
ser.hot-water.low-consumption,Evening,,UK,S,11,0,2010
CO2f,Evening,,UK,S,11,0,2010
nga,Night,,UK,A,12,12.552,2010
bog,Night,,UK,A,12,0,2010
biomass,Night,,UK,A,12,10.019,2010
elc,Night,,UK,A,12,43.34267522,2010
oil,Night,,UK,A,12,19.7944343,2010
hco,Night,,UK,A,12,19.7944343,2010
lfo,Night,,UK,A,12,19.7944343,2010
wood,Night,,UK,A,12,10.019,2010
hydrogen,Night,,UK,A,12,105.016835,2010
pellets,Night,,UK,A,12,20.58703511,2010
solar,Night,,UK,A,12,0.0,2010
ser.cooling.high-consumption,Night,,UK,A,12,0,2010
ser.cooking,Night,,UK,A,12,0,2010
ser.computing,Night,,UK,A,12,0,2010
ser.space-heat.high-consumption,Night,,UK,A,12,0,2010
ser.space-heat.low-consumption,Night,,UK,A,12,0,2010
ser.lighting.office,Night,,UK,A,12,0,2010
ser.lighting.other,Night,,UK,A,12,0,2010
ser.other,Night,,UK,A,12,0,2010
ser.refrigeration,Night,,UK,A,12,0,2010
ser.hot-water.high-consumption,Night,,UK,A,12,0,2010
ser.hot-water.low-consumption,Night,,UK,A,12,0,2010
CO2f,Night,,UK,A,12,0,2010
nga,Day,,UK,A,13,12.552,2010
bog,Day,,UK,A,13,0,2010
biomass,Day,,UK,A,13,10.019,2010
elc,Day,,UK,A,13,43.34267522,2010
oil,Day,,UK,A,13,19.7944343,2010
hco,Day,,UK,A,13,19.7944343,2010
lfo,Day,,UK,A,13,19.7944343,2010
wood,Day,,UK,A,13,10.019,2010
hydrogen,Day,,UK,A,13,105.016835,2010
pellets,Day,,UK,A,13,20.58703511,2010
solar,Day,,UK,A,13,0.0,2010
ser.cooling.high-consumption,Day,,UK,A,13,0,2010
ser.cooking,Day,,UK,A,13,0,2010
ser.computing,Day,,UK,A,13,0,2010
