commodity,consumption,period,region,season,timeslice,units_prices,year
ser.cooking,1.01970000000,Day,UK,P,5,0,2010
ser.computing,0.31890000000,Day,UK,P,5,0,2010
ser.space-heat.high-consumption,5.28090000000,Day,UK,P,5,0,2010
ser.space-heat.low-consumption,3.62070000000,Day,UK,P,5,0,2010
ser.lighting.office,7.38560000000,Day,UK,P,5,0,2010
ser.lighting.other,3.33430000000,Day,UK,P,5,0,2010
ser.other,0.76780000000,Day,UK,P,5,0,2010
ser.refrigeration,1.98000000000,Day,UK,P,5,0,2010
ser.hot-water.high-consumption,0.79500000000,Day,UK,P,5,0,2010
ser.hot-water.low-consumption,0.34350000000,Day,UK,P,5,0,2010
nga,15.52610000000,Peak,UK,P,6,12.552,2010
bog,0.01840000000,Peak,UK,P,6,0,2010
biomass,0.01550000000,Peak,UK,P,6,10.019,2010
elc,15.59410000000,Peak,UK,P,6,43.34267522,2010
oil,0.36160000000,Peak,UK,P,6,19.7944343,2010
hco,4.46560000000,Peak,UK,P,6,19.7944343,2010
lfo,2.70610000000,Peak,UK,P,6,19.7944343,2010
wood,1.36690000000,Peak,UK,P,6,10.019,2010
ser.cooling.high-consumption,1.02190000000,Peak,UK,P,6,0,2010
ser.computing,0.47840000000,Peak,UK,P,6,0,2010
ser.space-heat.high-consumption,6.02290000000,Peak,UK,P,6,0,2010
ser.space-heat.low-consumption,3.78620000000,Peak,UK,P,6,0,2010
ser.lighting.office,9.84750000000,Peak,UK,P,6,0,2010
ser.lighting.other,4.44580000000,Peak,UK,P,6,0,2010
ser.other,1.34360000000,Peak,UK,P,6,0,2010
ser.refrigeration,3.46500000000,Peak,UK,P,6,0,2010
ser.hot-water.high-consumption,2.71360000000,Peak,UK,P,6,0,2010
ser.hot-water.low-consumption,1.13260000000,Peak,UK,P,6,0,2010
nga,11.29020000000,Evening,UK,P,7,12.552,2010
bog,0.01340000000,Evening,UK,P,7,0,2010
biomass,0.01120000000,Evening,UK,P,7,10.019,2010
elc,16.02200000000,Evening,UK,P,7,43.34267522,2010
oil,0.45490000000,Evening,UK,P,7,19.7944343,2010
hco,9.52160000000,Evening,UK,P,7,19.7944343,2010
lfo,2.84070000000,Evening,UK,P,7,19.7944343,2010
wood,1.42820000000,Evening,UK,P,7,10.019,2010
ser.cooling.high-consumption,1.53290000000,Evening,UK,P,7,0,2010
ser.cooking,3.05900000000,Evening,UK,P,7,0,2010
ser.computing,0.31890000000,Evening,UK,P,7,0,2010
ser.space-heat.high-consumption,10.96880000000,Evening,UK,P,7,0,2010
ser.space-heat.low-consumption,5.44620000000,Evening,UK,P,7,0,2010
ser.lighting.office,9.84750000000,Evening,UK,P,7,0,2010
ser.lighting.other,4.44580000000,Evening,UK,P,7,0,2010
ser.other,0.57580000000,Evening,UK,P,7,0,2010
ser.refrigeration,1.48500000000,Evening,UK,P,7,0,2010
ser.hot-water.high-consumption,2.08390000000,Evening,UK,P,7,0,2010
ser.hot-water.low-consumption,0.81190000000,Evening,UK,P,7,0,2010
nga,39.02980000000,Night,UK,S,8,12.552,2010
bog,0.04300000000,Night,UK,S,8,0,2010
biomass,0.03610000000,Night,UK,S,8,10.019,2010
elc,27.41430000000,Night,UK,S,8,43.34267522,2010
oil,0.61410000000,Night,UK,S,8,19.7944343,2010
hco,2.91300000000,Night,UK,S,8,19.7944343,2010
lfo,0.52190000000,Night,UK,S,8,19.7944343,2010
wood,1.75590000000,Night,UK,S,8,10.019,2010
ser.cooling.high-consumption,44.85100000000,Night,UK,S,8,0,2010
ser.cooking,6.11790000000,Night,UK,S,8,0,2010
ser.computing,2.07290000000,Night,UK,S,8,0,2010
ser.space-heat.high-consumption,3.24300000000,Night,UK,S,8,0,2010
ser.space-heat.low-consumption,0.84380000000,Night,UK,S,8,0,2010
ser.lighting.office,17.72550000000,Night,UK,S,8,0,2010
ser.lighting.other,8.00240000000,Night,UK,S,8,0,2010
ser.other,1.91950000000,Night,UK,S,8,0,2010
ser.refrigeration,5.94000000000,Night,UK,S,8,0,2010
ser.hot-water.high-consumption,2.96250000000,Night,UK,S,8,0,2010
ser.hot-water.low-consumption,1.58310000000,Night,UK,S,8,0,2010
nga,10.57890000000,Day,UK,S,9,12.552,2010
bog,0.01780000000,Day,UK,S,9,0,2010
biomass,0.01500000000,Day,UK,S,9,10.019,2010
