RegionName,Timeslice,SER.COOLING.HIGH-CONSUMPTION,SER.COOKING,SER.COMPUTING,SER.SPACE-HEAT.HIGH-CONSUMPTION,SER.SPACE-HEAT.LOW-CONSUMPTION,SER.LIGHTING.OFFICE,SER.LIGHTING.OTHER,SER.OTHER,SER.REFRIGERATION,SER.HOT-WATER.HIGH-CONSUMPTION,SER.HOT-WATER.LOW-CONSUMPTION
UK,1,19.96998613655597,9.080033504579985,3.076525242757151,24.41899655094831,12.320005725613989,32.88462584502567,14.846085336432937,2.8487997914443324,7.346654161874253,5.913062481757832,2.5159983249870344
UK,2,1.516707807839694,1.5133389174299976,0.47331157580879246,6.155795718524298,4.404562014984038,10.961541948341887,4.948695112144312,1.13951991657773,2.9386616647496937,1.0941838454335227,0.5032702096514269
UK,3,1.516707807839694,0.0,0.7099673637131887,6.881838347803442,4.632989217135617,14.615389264455851,6.59826014952575,1.994159854011027,5.142657913311963,3.8385875312303224,1.6669965842230372
UK,4,2.2750617117595406,4.540016752289993,0.47331157580879246,12.851654445278415,6.552709327034089,14.615389264455851,6.59826014952575,0.8546399374332969,2.2039962485622686,2.856671451567655,1.2050404594492454
UK,5,19.96998613655597,9.080033504579985,3.076525242757151,29.631263597143736,15.315148375553681,32.88462584502567,14.846085336432937,2.8487997914443324,7.346654161874253,6.19354426592038,2.519663034920063
UK,6,1.516707807839694,1.5133389174299976,0.47331157580879246,7.8377987044805355,5.373777404773241,10.961541948341887,4.948695112144312,1.13951991657773,2.9386616647496937,1.1798617309829298,0.5097434078587507
UK,7,1.516707807839694,0.0,0.7099673637131887,8.938994637245765,5.619324199864319,14.615389264455851,6.59826014952575,1.994159854011027,5.142657913311963,4.027518624823302,1.6809381198730806
UK,8,2.2750617117595406,4.540016752289993,0.47331157580879246,16.279658008802382,8.083064895689375,14.615389264455851,6.59826014952575,0.8546399374332969,2.2039962485622686,3.092925925849407,1.2050404594492454
UK,9,66.56662045518657,9.080033504579985,3.076525242757151,4.813097472726871,1.2523424802447178,26.30770067602053,11.87686826914635,2.8487997914443324,8.815984994249074,4.396924401433621,2.349568838287789
UK,10,5.05569269279898,1.5133389174299976,0.47331157580879246,0.14467878795652114,0.48409636444267273,8.76923355867351,3.95895608971545,1.13951991657773,3.52639399769963,0.753917361911339,0.46303966934072505
UK,11,5.05569269279898,0.0,0.7099673637131887,0.23711491085987058,0.8123376286303079,11.692311411564681,5.2786081196206,1.994159854011027,6.171189495974351,2.9816317472587053,1.589466979286157
UK,12,7.583539039198469,4.540016752289993,0.47331157580879246,0.0,0.5670267777873167,11.692311411564681,5.2786081196206,0.8546399374332969,2.644795498274722,1.8902106946636372,1.1840454794868442
UK,13,4.437774697012438,9.080033504579985,3.076525242757151,64.94841286228957,27.764391491228345,39.4615510140308,17.815302403719524,2.8487997914443324,5.87732332949938,6.676706445765623,2.519663034920063
UK,14,0.33704617951993193,1.5133389174299976,0.47331157580879246,18.63014012652727,9.393178895359846,13.153850338010265,5.938434134573175,1.13951991657773,2.3509293317997506,1.3321654221288937,0.5097434078587507
UK,15,0.33704617951993193,0.0,0.7099673637131887,18.946727082381237,7.626017239390976,17.53846711734702,7.9179121794309,1.994159854011027,4.114126330649566,4.280421136009592,1.6860382829972447
UK,16,0.505569269279898,4.540016752289993,0.47331157580879246,37.68839860207446,12.533824493215457,17.53846711734702,7.9179121794309,0.8546399374332969,1.763196998849815,3.1931656302877043,1.2050404594492454
