commodity,period,prices,region,season,timeslice,units_prices,year
nga,Day,,UK,P,5,12.552,2010
oil,Day,,UK,P,5,19.7944343,2010
hco,Day,,UK,P,5,19.7944343,2010
wood,Day,,UK,P,5,10.019,2010
solar,Day,,UK,P,5,0.0,2010
hydrogen,Day,,UK,P,5,105.016835,2010
biomass,Day,,UK,P,5,10.019,2010
kerosene,Day,,UK,P,5,18.21616657,2010
pellets,Day,,UK,P,5,20.58703511,2010
res.cooking.other,Day,,UK,P,5,0,2010
res.cooking.hobs,Day,,UK,P,5,0,2010
res.cooking.ovens,Day,,UK,P,5,0,2010
res.consumer-electronics.tv,Day,,UK,P,5,0,2010
res.freezers,Day,,UK,P,5,0,2010
res.cooling,Day,,UK,P,5,0,2010
res.computers,Day,,UK,P,5,0,2010
res.refrigerators,Day,,UK,P,5,0,2010
res.lighting,Day,,UK,P,5,0,2010
res.other,Day,,UK,P,5,0,2010
res.wet.appliances,Day,,UK,P,5,0,2010
res.space-heat.existing-average,Day,,UK,P,5,0,2010
res.space-heat.new-average,Day,,UK,P,5,0,2010
res.hot-water.existing-average,Day,,UK,P,5,0,2010
res.hot-water.new-average,Day,,UK,P,5,0,2010
CO2f,Day,,UK,P,5,0,2010
elc,Peak,,UK,P,6,43.34267522,2010
nga,Peak,,UK,P,6,12.552,2010
oil,Peak,,UK,P,6,19.7944343,2010
hco,Peak,,UK,P,6,19.7944343,2010
wood,Peak,,UK,P,6,10.019,2010
solar,Peak,,UK,P,6,0.0,2010
hydrogen,Peak,,UK,P,6,105.016835,2010
biomass,Peak,,UK,P,6,10.019,2010
kerosene,Peak,,UK,P,6,18.21616657,2010
pellets,Peak,,UK,P,6,20.58703511,2010
res.cooking.other,Peak,,UK,P,6,0,2010
res.cooking.hobs,Peak,,UK,P,6,0,2010
res.cooking.ovens,Peak,,UK,P,6,0,2010
res.consumer-electronics.tv,Peak,,UK,P,6,0,2010
res.freezers,Peak,,UK,P,6,0,2010
res.cooling,Peak,,UK,P,6,0,2010
res.computers,Peak,,UK,P,6,0,2010
res.refrigerators,Peak,,UK,P,6,0,2010
res.lighting,Peak,,UK,P,6,0,2010
res.other,Peak,,UK,P,6,0,2010
res.wet.appliances,Peak,,UK,P,6,0,2010
res.space-heat.existing-average,Peak,,UK,P,6,0,2010
res.space-heat.new-average,Peak,,UK,P,6,0,2010
res.hot-water.existing-average,Peak,,UK,P,6,0,2010
res.hot-water.new-average,Peak,,UK,P,6,0,2010
CO2f,Peak,,UK,P,6,0,2010
elc,Evening,,UK,P,7,43.34267522,2010
nga,Evening,,UK,P,7,12.552,2010
oil,Evening,,UK,P,7,19.7944343,2010
hco,Evening,,UK,P,7,19.7944343,2010
wood,Evening,,UK,P,7,10.019,2010
solar,Evening,,UK,P,7,0.0,2010
hydrogen,Evening,,UK,P,7,105.016835,2010
biomass,Evening,,UK,P,7,10.019,2010
kerosene,Evening,,UK,P,7,18.21616657,2010
pellets,Evening,,UK,P,7,20.58703511,2010
res.cooking.other,Evening,,UK,P,7,0,2010
res.cooking.hobs,Evening,,UK,P,7,0,2010
res.cooking.ovens,Evening,,UK,P,7,0,2010
res.consumer-electronics.tv,Evening,,UK,P,7,0,2010
res.freezers,Evening,,UK,P,7,0,2010
res.cooling,Evening,,UK,P,7,0,2010
res.computers,Evening,,UK,P,7,0,2010
res.refrigerators,Evening,,UK,P,7,0,2010
res.lighting,Evening,,UK,P,7,0,2010
res.other,Evening,,UK,P,7,0,2010
res.wet.appliances,Evening,,UK,P,7,0,2010
res.space-heat.existing-average,Evening,,UK,P,7,0,2010
res.space-heat.new-average,Evening,,UK,P,7,0,2010
res.hot-water.existing-average,Evening,,UK,P,7,0,2010
res.hot-water.new-average,Evening,,UK,P,7,0,2010
CO2f,Evening,,UK,P,7,0,2010
elc,Night,,UK,S,8,43.34267522,2010
nga,Night,,UK,S,8,12.552,2010
oil,Night,,UK,S,8,19.7944343,2010
hco,Night,,UK,S,8,19.7944343,2010
wood,Night,,UK,S,8,10.019,2010
solar,Night,,UK,S,8,0.0,2010
hydrogen,Night,,UK,S,8,105.016835,2010
biomass,Night,,UK,S,8,10.019,2010
kerosene,Night,,UK,S,8,18.21616657,2010
pellets,Night,,UK,S,8,20.58703511,2010
res.cooking.other,Night,,UK,S,8,0,2010
res.cooking.hobs,Night,,UK,S,8,0,2010
res.cooking.ovens,Night,,UK,S,8,0,2010
res.consumer-electronics.tv,Night,,UK,S,8,0,2010
res.freezers,Night,,UK,S,8,0,2010
res.cooling,Night,,UK,S,8,0,2010
res.computers,Night,,UK,S,8,0,2010
res.refrigerators,Night,,UK,S,8,0,2010
res.lighting,Night,,UK,S,8,0,2010
res.other,Night,,UK,S,8,0,2010
res.wet.appliances,Night,,UK,S,8,0,2010
res.space-heat.existing-average,Night,,UK,S,8,0,2010
res.space-heat.new-average,Night,,UK,S,8,0,2010
res.hot-water.existing-average,Night,,UK,S,8,0,2010
res.hot-water.new-average,Night,,UK,S,8,0,2010
CO2f,Night,,UK,S,8,0,2010
elc,Day,,UK,S,9,43.34267522,2010
nga,Day,,UK,S,9,12.552,2010
oil,Day,,UK,S,9,19.7944343,2010
hco,Day,,UK,S,9,19.7944343,2010
wood,Day,,UK,S,9,10.019,2010
solar,Day,,UK,S,9,0.0,2010
hydrogen,Day,,UK,S,9,105.016835,2010
biomass,Day,,UK,S,9,10.019,2010
kerosene,Day,,UK,S,9,18.21616657,2010
pellets,Day,,UK,S,9,20.58703511,2010
res.cooking.other,Day,,UK,S,9,0,2010
res.cooking.hobs,Day,,UK,S,9,0,2010
res.cooking.ovens,Day,,UK,S,9,0,2010
res.consumer-electronics.tv,Day,,UK,S,9,0,2010
res.freezers,Day,,UK,S,9,0,2010
res.cooling,Day,,UK,S,9,0,2010
res.computers,Day,,UK,S,9,0,2010
res.refrigerators,Day,,UK,S,9,0,2010
res.lighting,Day,,UK,S,9,0,2010
